power,count
"132 hp @ 6,300 RPM",35
"250 hp @ 6,600 RPM",35
"562 hp @ 7,500 RPM",34
"320 hp @ 6,400 RPM",34
"357 hp @ 6,400 RPM",34
"228 hp @ 5,200 RPM",34
"303 hp @ 6,200 RPM",34
"103 hp @ 6,000 RPM",34
"505 hp @ 6,300 RPM",34
"366 hp @ 5,800 RPM",34
"281 hp @ 5,600 RPM",34
"520 hp @ 6,000 RPM",33
"170 hp @ 5,900 RPM",33
"175 hp @ 6,200 RPM",33
"233 hp @ 5,600 RPM",33
"255 hp @ 6,200 RPM",33
"600 hp @ 5,000 RPM",33
"271 hp @ 6,300 RPM",33
"471 hp @ 7,100 RPM",32
"414 hp @ 8,300 RPM",32
"380 hp @ 6,400 RPM",32
"260 hp @ 3,100 RPM",32
"302 hp @ 5,800 RPM",31
"200 hp @ 5,400 RPM",31
"245 hp @ 4,800 RPM",31
"186 hp @ 6,400 RPM",31
"206 hp @ 6,000 RPM",31
"140 hp @ 5,800 RPM",31
"225 hp @ 5,000 RPM",31
"258 hp @ 6,200 RPM",31
"202 hp @ 6,300 RPM",31
"162 hp @ 6,000 RPM",30
"365 hp @ 6,500 RPM",30
"188 hp @ 5,000 RPM",30
"196 hp @ 6,200 RPM",30
"577 hp @ 6,000 RPM",30
"234 hp @ 6,000 RPM",30
"154 hp @ 5,700 RPM",29
"360 hp @ 5,600 RPM",29
"440 hp @ 5,700 RPM",29
"275 hp @ 5,750 RPM",29
"156 hp @ 6,500 RPM",29
"325 hp @ 2,900 RPM",29
"143 hp @ 5,800 RPM",29
"225 hp @ 6,200 RPM",29
"563 hp @ 6,000 RPM",29
"575 hp @ 6,500 RPM",29
"255 hp @ 6,900 RPM",29
"300 hp @ 5,100 RPM",29
"211 hp @ 5,300 RPM",29
"244 hp @ 6,250 RPM",29
"210 hp @ 5,250 RPM",29
"467 hp @ 7,100 RPM",28
"354 hp @ 6,000 RPM",28
"460 hp @ 6,000 RPM",28
"616 hp @ 6,000 RPM",28
"224 hp @ 5,200 RPM",28
"483 hp @ 5,500 RPM",28
"302 hp @ 5,000 RPM",28
"255 hp @ 4,600 RPM",28
"193 hp @ 6,000 RPM",28
"219 hp @ 5,800 RPM",28
"260 hp @ 5,250 RPM",27
"260 hp @ 5,200 RPM",27
"290 hp @ 6,100 RPM",27
