torque,count
"220 lb-ft @ 2,750 RPM",57
"405 lb-ft @ 1,750 RPM",56
"480 lb-ft @ 3,250 RPM",56
"420 lb-ft @ 4,800 RPM",56
"442 lb-ft @ 2,600 RPM",56
"244 lb-ft @ 4,400 RPM",55
"390 lb-ft @ 2,300 RPM",55
"561 lb-ft @ 2,000 RPM",55
"318 lb-ft @ 1,750 RPM",55
"295 lb-ft @ 2,150 RPM",54
"242 lb-ft @ 2,800 RPM",54
"273 lb-ft @ 5,000 RPM",54
"243 lb-ft @ 3,250 RPM",54
"502 lb-ft @ 2,500 RPM",54
"163 lb-ft @ 4,200 RPM",54
"295 lb-ft @ 2,500 RPM",54
"460 lb-ft @ 4,600 RPM",54
"282 lb-ft @ 4,000 RPM",53
"325 lb-ft @ 3,400 RPM",53
"251 lb-ft @ 4,400 RPM",52
"221 lb-ft @ 4,000 RPM",51
"309 lb-ft @ 1,900 RPM",51
"325 lb-ft @ 3,500 RPM",51
"109 lb-ft @ 4,250 RPM",51
"321 lb-ft @ 4,000 RPM",51
"479 lb-ft @ 1,500 RPM",51
"250 lb-ft @ 3,200 RPM",51
"323 lb-ft @ 3,400 RPM",50
"140 lb-ft @ 4,300 RPM",50
"460 lb-ft @ 2,000 RPM",49
"262 lb-ft @ 4,800 RPM",49
"352 lb-ft @ 1,360 RPM",49
"280 lb-ft @ 1,800 RPM",49
"220 lb-ft @ 4,000 RPM",49
"472 lb-ft @ 1,500 RPM",49
"325 lb-ft @ 5,600 RPM",49
"229 lb-ft @ 2,200 RPM",49
"122 lb-ft @ 2,600 RPM",48
"330 lb-ft @ 1,600 RPM",48
"625 lb-ft @ 5,000 RPM",48
"185 lb-ft @ 2,750 RPM",47
"310 lb-ft @ 1,450 RPM",47
"367 lb-ft @ 4,100 RPM",47
"185 lb-ft @ 3,950 RPM",47
"217 lb-ft @ 4,000 RPM",47
"516 lb-ft @ 1,000 RPM",47
"282 lb-ft @ 3,800 RPM",47
"650 lb-ft @ 1,400 RPM",47
"313 lb-ft @ 3,400 RPM",46
"425 lb-ft @ 1,750 RPM",46
"443 lb-ft @ 5,000 RPM",46
"245 lb-ft @ 4,500 RPM",46
"129 lb-ft @ 2,400 RPM",45
"375 lb-ft @ 4,000 RPM",45
"516 lb-ft @ 2,100 RPM",45
"656 lb-ft @ 4,800 RPM",45
"568 lb-ft @ 1,960 RPM",45
"295 lb-ft @ 3,600 RPM",45
"479 lb-ft @ 1,600 RPM",44
"568 lb-ft @ 5,500 RPM",44
"182 lb-ft @ 4,000 RPM",44
"190 lb-ft @ 4,000 RPM",44
"350 lb-ft @ 4,400 RPM",44
"190 lb-ft @ 4,850 RPM",44
